epoch,loss,auc,val_loss,val_auc
1,0.06684482141420475,0.792193685651677,0.21121877316786167,0.5042525967183502
2,0.05121831044631351,0.8472543365863693,0.20668805677878502,0.5017311455667619
3,0.04566571522096253,0.8813715333357447,0.21262299201240256,0.5166716844799037
4,0.0398768454593039,0.9116438241535889,0.28610029861382136,0.5247629083245522
5,0.03454916468772881,0.935970061344659,0.2673148301044304,0.5206232124040343
6,0.028860416342719873,0.9569094665557427,0.27331448012208504,0.5287520698479602
7,0.02217448983392093,0.9777462977529272,0.27561240472342796,0.5314240553966583
8,0.01751786913698119,0.9865730615805791,0.3769549987970444,0.5388002408550354
9,0.012531601647832031,0.9948437662802504,0.3387515920979446,0.5370314616889958
10,0.008548140390327886,0.9981110185545594,0.37786533099383934,0.5446334487430378
11,0.005421046300322121,0.9995751276371644,0.36454991656366215,0.5424883335842239
12,0.003087367257355657,0.9999508724459745,0.4064851300066307,0.5439560439560439
13,0.0020677931819755714,0.9999843439662995,0.41451917499201524,0.5509182598223694
14,0.0014962382627400302,0.9999994601367689,0.42804246332210827,0.5473807014902905
15,0.000724673564778256,1.0,0.45941702350899494,0.5477946710823423
16,0.00047199664117239493,1.0,0.4816360274181665,0.5516332982086407
17,0.00032071643821473384,1.0,0.502756780726053,0.551144061418034
18,0.00023105830195959326,1.0,0.506755181941208,0.5534397109739575
19,0.00019759337145448835,1.0,0.5150202323823264,0.5554342917356616
20,0.00012098554793821536,1.0,0.5334367924748155,0.5524612373927442
21,9.265508543640444e-05,1.0,0.5559212015101258,0.5544934517537257
22,7.974483514037066e-05,1.0,0.5109425005780052,0.5476441366852325
23,6.737650912441746e-05,1.0,0.5640107546442825,0.55193436700286
24,5.029040887348481e-05,1.0,0.5938450483070075,0.5535526117717899
1,0.06684482141420475,0.792193685651677,0.21121877316786167,0.5042525967183502
2,0.05121831044631351,0.8472543365863693,0.20668805677878502,0.5017311455667619
3,0.045665677695710984,0.8813709934725136,0.21262762149118178,0.5167093180791811
4,0.03987667327753592,0.9116465234697443,0.2861065554349455,0.5247252747252747
5,0.034549518376807795,0.9359689816181969,0.2673077643497312,0.5206232124040343
6,0.028860766405731025,0.9569118959402825,0.2733099990922881,0.5287520698479602
7,0.022174822665069423,0.9777468376161582,0.27560658025762036,0.5315369561944905
8,0.017518906498945084,0.9865703622644239,0.37697300608792006,0.5386873400572031
9,0.012531822652697651,0.9948426865537884,0.33872726723099944,0.5369938280897184
10,0.008548456573315528,0.9981093989648663,0.3778647018438823,0.5446710823423151
11,0.00542133339252364,0.9995745877739334,0.36457621810629587,0.5425636007827788
12,0.003087362597791771,0.9999508724459745,0.4064647694367668,0.543880776757489
13,0.0020681181347748973,0.9999843439662995,0.41452314919159156,0.5509935270209243
14,0.0014966772962784981,0.9999994601367689,0.4280606475807897,0.5473807014902904
15,0.0007245924178940983,1.0,0.45936377463144096,0.5477946710823423
16,0.0004720202361212715,1.0,0.4816133867695105,0.5516709318079182
17,0.00032073562745834,1.0,0.5027198260671351,0.5511064278187565
18,0.0002310499484572482,1.0,0.5067266814684542,0.5535149781725124
19,0.00019769193156229673,1.0,0.5150423390336347,0.555471925334939
20,0.00012101130609651705,1.0,0.5334183396292036,0.5523859701941893
21,9.271845410870725e-05,1.0,0.5555614233625684,0.5544181845551708
22,7.981984831039841e-05,1.0,0.5108416301488143,0.5475688694866777
23,6.737433659024921e-05,1.0,0.5640306636465722,0.5519720006021375
24,5.031148230577063e-05,1.0,0.5937993810879753,0.5535902453710673
