raw_path,raw_filename,adaptive_threshold,background_median,background_mad,raw_nonblack_ratio,largest_component_frac,nonblack_ratio,mean_nonblack,std_nonblack,entropy,lap_var,top_border,bottom_border,rejected,reason,score,selected,rank,filtered_path
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00000.png,synth_00000.png,10.0,0.0,0.0,0.4334564208984375,0.9988999190340409,0.4290618896484375,74.1719655748782,36.78130546752324,3.9211674218397845,147.3812255859375,0.0,0.0,False,,-1.8749354526993864,True,300.0,/mnt/MammoDiffusion/MammoDiffusion/data/synthetic/08_ldm_v3_sdvae_fromscratch/positive/synth_filtered_0300.png
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00001.png,synth_00001.png,10.0,0.0,0.0,0.3838539123535156,0.9975254658385093,0.37897491455078125,76.0155718398325,39.71712619061986,3.6338733800111216,199.7604217529297,0.0,0.0,False,,-2.0088069343054595,True,420.0,/mnt/MammoDiffusion/MammoDiffusion/data/synthetic/08_ldm_v3_sdvae_fromscratch/positive/synth_filtered_0420.png
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00002.png,synth_00002.png,10.0,0.0,0.0,0.3798980712890625,0.9981624292083383,0.3749122619628906,69.01793836041554,31.52346608123049,3.5520614120278116,149.39349365234375,0.0,0.0,False,,-2.6175412045050432,True,1197.0,/mnt/MammoDiffusion/MammoDiffusion/data/synthetic/08_ldm_v3_sdvae_fromscratch/positive/synth_filtered_1197.png
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00003.png,synth_00003.png,10.0,0.0,0.0,0.3150901794433594,0.9993825591108851,0.30973052978515625,64.24903317979161,36.49959913969917,3.227631692830926,15.935752868652344,0.0,0.0,False,,-3.6101791924579083,False,,
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00004.png,synth_00004.png,10.0,0.0,0.0,0.3231048583984375,0.9982880755608028,0.318572998046875,71.93544640291216,39.11863910550183,3.187872123685923,182.25624084472656,0.0,0.0,False,,-2.620598750075935,True,1201.0,/mnt/MammoDiffusion/MammoDiffusion/data/synthetic/08_ldm_v3_sdvae_fromscratch/positive/synth_filtered_1201.png
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00005.png,synth_00005.png,10.0,0.0,0.0,0.3262481689453125,0.9978719423787474,0.3215217590332031,71.1839117280655,36.81031451540051,3.232905078126833,170.3275909423828,0.0,0.0,False,,-2.9880418200442365,False,,
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00006.png,synth_00006.png,10.0,0.0,0.0,0.32248687744140625,0.9992311150015377,0.31703948974609375,68.58828059198652,38.055234380284375,3.487712596397261,20.827903747558594,0.0,0.0,False,,-2.972100494771664,False,,
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00007.png,synth_00007.png,10.0,0.0,0.0,0.5380477905273438,0.9974192816527941,0.5308303833007812,74.49733388907254,33.55459689540881,5.01611773547566,90.31974792480469,0.0,0.0,False,,-4.33406912140054,False,,
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00008.png,synth_00008.png,10.0,0.0,0.0,0.47055816650390625,1.0,0.4659767150878906,77.32402806316668,40.19047504397234,4.193485400541224,45.53778076171875,0.0,0.0,False,,-2.7913844888907664,False,,
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00009.png,synth_00009.png,10.0,0.0,0.0,0.3988189697265625,0.9989287217354708,0.39429473876953125,79.76869642615274,43.80791033826755,3.70518417597652,249.69140625,0.0,0.0,False,,-1.5301396154506484,True,85.0,/mnt/MammoDiffusion/MammoDiffusion/data/synthetic/08_ldm_v3_sdvae_fromscratch/positive/synth_filtered_0085.png
/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/synthetic_raw/synth_00010.png,synth_00010.png,10.0,0.0,0.0,0.3610191345214844,0.9976119781485434,0.3556632995605469,88.05761784737491,41.596063430509076,3.494840602768903,256.4115295410156,0.0,0.0,False,,-2.1342656180399486,True,559.0,/mnt/MammoDiffusion/MammoDiffusion/data/synthetic/08_ldm_v3_sdvae_fromscratch/positive/synth_filtered_0559.png
